 ,, ,,,,,,,,,
Seed ID,Task,Categories,Difficulty Vars,Rules,Duplicate,Source, Completion,Remark,,,
maze,Multi-layer Mazes,Space / Path Planning,"grid_size, layers, portals",Cross-layer pathfinding with portal navigation; output blue path PNG.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,, 
raven,Progressive Matrices,Pattern / Sequence,"rules, complexity","3x3 visual grid; infer rules for shape, color, rotation, and count.",,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
ca_forward,CA Forward Prediction,Pattern / Sequence,"grid_size, rule_complexity, steps",Deterministic time evolution; predict T+k state based on Moore neighborhood.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
ca_inverse,CA Inverse Inference,Pattern / Sequence,"grid_size, rule_space, steps",Inverse causal reasoning; infer rule table from T and T+k states.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
logic_grid,Visual Logic Grids,Logical Constraint,"grid_size, constraints, types",Latin Square puzzle with visual cues; must satisfy row/column uniqueness.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
graph_coloring,Planar Graph k-Coloring,Graph / Connectivity,"nodes, edge_density, k",Constraint optimization; no adjacent nodes same color using exactly k colors.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
graph_isomorphism,Graph Isomorphism Detection,Graph / Connectivity,"nodes, distortion",Structure comparison; determine if two layouts have identical topology.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
unknot,Unknot Detection,Topology,crossings,Topological classification; determine if a closed curve is an unknot.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
ortho_projection,Orthographic Projection Identification,Geometry / Projection (3D),"faces, concavities",Spatial transformation; derive 2D projections from an isometric view.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
iso_reconstruction,Isometric Reconstruction,Geometry / Projection (3D),"faces, ambiguity",Inverse spatial reasoning; reconstruct 3D voxel structure from 2D projections.,,https://github.com/danielxmed/tacit-benchmark,zixiao,,,,
,,,,,,,,,,,
,,,,,,,,,,,
symmetry_grid_mirror_fill,Symmetry Grid Mirror Fill,Symmetry,"grid_size, symmetry_axis",Fill in the missing grid cells to maintain reflectional symmetry.,,https://github.com/maveryn/sphinx,zixiao,,,,
symmetry_scene_mirror_identify,Symmetry Scene Mirror Identify,Symmetry,"distractors, noise_level",Identify the correct axis of symmetry within a complex visual scene.,,https://github.com/maveryn/sphinx,zixiao,,,,
symmetry_frieze_groups,Symmetry Frieze Groups,Symmetry,"group_type, complexity",Identify or complete a 1D repeating pattern (frieze group).,,https://github.com/maveryn/sphinx,zixiao,,,,
symmetry_wallpaper_groups,Symmetry Wallpaper Groups,Symmetry,"group_type, complexity",Identify or complete a 2D repeating pattern (wallpaper group).,,https://github.com/maveryn/sphinx,zixiao,,,,
sequence_arithmetic,Sequence Arithmetic,Sequence,"seq_length, step_size",Deduce the mathematical progression in a visual sequence and find the next item.,,https://github.com/maveryn/sphinx,zixiao,,,,
sequence_rotation,Sequence Rotation,Sequence,"angle, steps",Predict the next rotational state of a shape in a sequence.,,https://github.com/maveryn/sphinx,zixiao,,,,
sequence_multi_column_arithmetic,Seq Multi-Column Arithmetic,Sequence,"columns, operations",Solve multi-variable visual arithmetic across different columns.,,https://github.com/maveryn/sphinx,zixiao,,,,
transform_pair_infer,Transform Pair Infer,Transform,transform_types,"Infer the transformation rule between pair A and B, apply to C.",,https://github.com/maveryn/sphinx,zixiao,,,,
transform_result_identify,Transform Result Identify,Transform,operations_count,Apply a sequence of known transformations to identify the final result.,,https://github.com/maveryn/sphinx,zixiao,,,,
transform_similarity_identify,Transform Similarity Identify,Transform,feature_dimensions,Group or identify objects that share a specific geometric transformation.,,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_connected_component,Tiles Connected Component,Tiles,"grid_size, density",Identify and count isolated connected components on a tile grid.,,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_shortest_path,Tiles Shortest Path,Tiles,"obstacles, grid_size",Find the shortest visual path between two points on a tile grid.,,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_missing_tiles,Tiles Missing Tiles,Tiles,pattern_type,Deduce the logical pattern to find the missing tile.,,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_decompose_compose,Tiles Decompose Compose,Tiles,pieces_count,Match composed whole shapes to their decomposed tile parts.,,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_geometry,Tiles Geometry,Tiles,shape_complexity,"Perform geometric reasoning tasks (area, perimeter) on tile grids.",,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_recoloring,Tiles Recoloring,Tiles,color_rules,Deduce conditional rules for recoloring specific tiles.,,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_line_length,Tiles Line Length,Tiles,"distortions, scale",Visually compare or measure lengths of lines across tiles.,,https://github.com/maveryn/sphinx,zixiao,,,,
tiles_line_intersections,Tiles Line Intersections,Tiles,line_count,Count or locate line intersections within a tiled area.,,https://github.com/maveryn/sphinx,zixiao,,,,
shape_count,Shape Count,Counting,"distractors, overlap",Count specific target shapes in an environment with high noise/overlap.,,https://github.com/maveryn/sphinx,zixiao,,,,
charts_pie,Charts Pie,Charts,"slices, color_map",Reason about mathematical proportions using visual pie charts.,,https://github.com/maveryn/sphinx,zixiao,,,,
charts_match_proportions,Charts Match Proportions,Charts,data_variance,Match visual proportions in charts to given numeric data.,,https://github.com/maveryn/sphinx,zixiao,,,,
geometric_sort,Geometric Sort,Geometric,sort_criteria,"Sort a series of geometric objects by size, area, or edges.",,https://github.com/maveryn/sphinx,zixiao,,,,
geometric_position,Geometric Position,Geometric,spatial_relations,"Reason about relative spatial positioning (inside, above, intersecting).",,https://github.com/maveryn/sphinx,zixiao,,,,
geometric_stack_count,Geometric Stack Count,Geometric,"depth, occlusion",Count or identify objects in a 3D-like stacked scene with occlusions.,,https://github.com/maveryn/sphinx,zixiao,,,,
rect_venn,Rect Venn,Rect Venn,"sets, intersections",Visual logic and set theory using rectangular Venn diagram overlaps.,,https://github.com/maveryn/sphinx,zixiao,,,,
,,,,,, ,,,,,
Vr1,Regular Maze,2D Grid-based Spatial Navigation,maze_size (7 to 15),Basic spatial navigation and path planning in grid-based mazes,,https://github.com/foundationagents/vr-bench,zixiao,,,,
Vr2,Sokoban,Logic & Object Interactions,"board_size (5 to 12), num_boxes","Push boxes to target positions, requiring understanding of object interactions and push mechanics",,https://github.com/foundationagents/vr-bench,zixiao,,,,
Vr3,3D Maze,3D Spatial Reasoning,"Maze size, height, and occlusion","Navigate through multi-level maze with height and occlusion, testing reasoning ability in 3D space",,https://github.com/foundationagents/vr-bench,zixiao,,,,
Vr4,PathFinder (Irregular Maze),Pure Visual Perception,"image_size (512 to 1024), road width (30px to 18px), node density (18% to 12%), branch count (1 to 5), path length (4 to 8 nodes)","Navigate through irregular mazes with curved paths, testing pure visual perception without coordinate memory",,https://github.com/foundationagents/vr-bench,zixiao,,,,
Vr5,TrapField,Constraint-based Reasoning,"grid_size (5 to 11), trap_density (0.2 to 0.35)","Navigate from start to goal while avoiding specific trap regions, testing constraint-based reasoning",,https://github.com/foundationagents/vr-bench,zixiao,,,,
,,,,,, ,,,,,
end_location,End Location Prediction,Dynamic Reasoning,"n_steps, n_balls",Predict the final coordinate (grid ID) of the target ball after all collisions.,,https://github.com/akaliutau/dynavisr-bench,zixiao,,,,
collision_count,Collision Counting,Dynamic Reasoning,"n_steps, n_obstacles",Count the total number of collisions between balls and obstacles/walls.,,https://github.com/akaliutau/dynavisr-bench,zixiao,,,,
event_order,Event Ordering,Causal Reasoning,n_events,Determine the chronological order of specific collision events.,,https://github.com/akaliutau/dynavisr-bench,zixiao,,,,
occlusion_id,Identity under Occlusion,Spatial Reasoning,obstacle_size,Identify which ball is at a certain location after passing through an occluded area.,,https://github.com/akaliutau/dynavisr-bench,zixiao,,,,
,,,,,, ,,,,,
mentis_Form Board,Form Board,Spatial matching,,Match pieces to silhouettes,,https://github.com/Jana-Z/mentis-oculi,zixiao,,,,
mentis_Hinge Folding,Hinge Folding,Sequential transformations,,Fold connected shapes via hinges,,https://github.com/Jana-Z/mentis-oculi,zixiao,,,,
mentis_Paper Fold,Paper Fold,Spatial prediction,,Predict fold patterns,,https://github.com/Jana-Z/mentis-oculi,zixiao,,,,
mentis_Rush Hour,Rush Hour,Sequential planning,,Slide cars to free the red car,,https://github.com/Jana-Z/mentis-oculi,zixiao,,,,
mentis_Sliding Puzzle,Sliding Puzzle,Sequential moves,,Rearrange tiles to form image,,https://github.com/Jana-Z/mentis-oculi,zixiao,,,,
,,,,,, ,,,,,
